cod_ibge,municipio,uf,regiao,populacao,idhm,pib_per_capita,gini,perc_votos_gov,taxa_comparecimento
1000932,Município 932,SP,Sudeste,4015,0.528,11244,0.52,57.5,0.91
1005086,Município 5086,RJ,Sudeste,21888,0.913,36932,0.51,32.6,0.77
1002901,Município 2901,SC,Sul,23866,0.717,19069,0.52,54.3,0.8
1000634,Município 634,MG,Sudeste,2463,0.649,9615,0.51,33.9,0.72
1004650,Município 4650,TO,Centro-Oeste,10596,0.763,31105,0.44,43.3,0.75
1000499,Município 499,MG,Sudeste,2033,0.889,33682,0.42,51.2,0.86
1001565,Município 1565,RS,Sul,3595,0.756,45788,0.52,36.0,0.92
1000416,Município 416,MG,Sudeste,9707,0.672,9834,0.54,40.5,0.91
1002081,Município 2081,BA,Nordeste,7103,0.591,9397,0.51,52.1,0.88
1004620,Município 4620,TO,Centro-Oeste,1303,0.818,78931,0.44,42.4,0.95
1004830,Município 4830,RN,Nordeste,6318,0.492,8623,0.55,56.6,0.87
1001426,Município 1426,SP,Sudeste,1539,0.668,36507,0.51,48.8,0.82
1000758,Município 758,MG,Sudeste,1000,0.678,19914,0.49,47.3,0.86
1001194,Município 1194,SP,Sudeste,2992,0.692,30222,0.41,46.1,0.82
1001042,Município 1042,SP,Sudeste,21002,0.765,17884,0.44,28.6,0.88
1003300,Município 3300,GO,Centro-Oeste,7877,0.753,36739,0.47,43.2,0.8
1002571,Município 2571,PR,Sul,27214,0.708,24862,0.44,54.7,0.77
1003210,Município 3210,GO,Centro-Oeste,289910,0.638,26345,0.47,49.4,0.79
1003384,Município 3384,PB,Nordeste,11957,0.666,10268,0.47,60.3,0.87
1000597,Município 597,MG,Sudeste,3087,0.675,75233,0.57,37.9,0.76
1001919,Município 1919,RS,Sul,52000,0.804,18224,0.37,49.2,0.83
1002347,Município 2347,BA,Nordeste,5394,0.639,12713,0.61,53.8,0.86
1002806,Município 2806,PR,Sul,170868,0.788,38404,0.47,47.0,0.77
1000653,Município 653,MG,Sudeste,40670,0.661,19400,0.53,32.7,0.81
1003045,Município 3045,SC,Sul,5332,0.685,5243,0.49,30.3,0.87
1004201,Município 4201,PE,Nordeste,6408,0.527,21054,0.48,60.1,0.79
1001540,Município 1540,RS,Sul,51420,0.638,11807,0.43,49.6,0.72
1001607,Município 1607,RS,Sul,8895,0.835,10434,0.47,35.5,0.81
1002390,Município 2390,BA,Nordeste,2672,0.676,12025,0.56,56.2,0.79
1001618,Município 1618,RS,Sul,22513,0.73,59768,0.54,47.3,0.77
1000076,Município 76,MG,Sudeste,9065,0.787,19136,0.41,33.7,0.85
1003648,Município 3648,PI,Nordeste,33393,0.614,23606,0.57,66.3,0.85
1003661,Município 3661,PI,Nordeste,7744,0.575,31470,0.57,59.9,0.77
1003840,Município 3840,MA,Nordeste,1779,0.72,13428,0.45,67.5,0.81
1003396,Município 3396,PB,Nordeste,11742,0.684,17720,0.49,69.8,0.83
1002657,Município 2657,PR,Sul,1697,0.758,19193,0.53,36.5,0.75
1001789,Município 1789,RS,Sul,1000,0.652,14715,0.47,32.4,0.84
1003785,Município 3785,PI,Nordeste,64824,0.682,20778,0.45,47.5,0.86
1004026,Município 4026,PE,Nordeste,9614,0.697,18394,0.48,66.6,0.84
1004629,Município 4629,TO,Centro-Oeste,17443,0.737,32388,0.42,54.0,0.83
1001011,Município 1011,SP,Sudeste,10604,0.771,28383,0.45,39.1,0.96
1001030,Município 1030,SP,Sudeste,15874,0.702,57661,0.54,42.4,0.75
1004525,Município 4525,PA,Norte,19577,0.652,16821,0.46,34.3,0.78
1000829,Município 829,MG,Sudeste,6553,0.822,15405,0.32,52.9,0.82
1001345,Município 1345,SP,Sudeste,2881,0.726,23768,0.46,52.4,0.88
1000097,Município 97,MG,Sudeste,13764,0.774,31401,0.44,30.1,0.89
1002168,Município 2168,BA,Nordeste,1037,0.536,9761,0.51,59.7,0.77
1004482,Município 4482,PA,Norte,4947,0.621,18264,0.58,59.1,0.88
1005245,Município 5245,SE,Nordeste,22357,0.589,15358,0.44,60.0,0.83
1001201,Município 1201,SP,Sudeste,12034,0.725,8162,0.49,49.6,0.77
1000622,Município 622,MG,Sudeste,19843,0.795,44725,0.41,31.8,0.68
1000567,Município 567,MG,Sudeste,20086,0.824,38038,0.48,58.8,0.8
1000544,Município 544,MG,Sudeste,52126,0.821,16362,0.52,38.8,0.82
1002374,Município 2374,BA,Nordeste,39799,0.605,6412,0.5,55.4,0.81
1000052,Município 52,MG,Sudeste,59203,0.679,18599,0.56,48.7,0.81
1001296,Município 1296,SP,Sudeste,34471,0.706,36495,0.52,41.3,0.85
1001833,Município 1833,RS,Sul,4304,0.7,26867,0.56,33.3,0.83
1000746,Município 746,MG,Sudeste,15560,0.81,45751,0.48,51.4,0.85
1003938,Município 3938,MA,Nordeste,1000,0.637,22739,0.52,42.3,0.84
1001920,Município 1920,RS,Sul,9357,0.837,48236,0.43,37.8,0.87
1004602,Município 4602,TO,Centro-Oeste,4703,0.818,13962,0.49,49.1,0.87
1000196,Município 196,MG,Sudeste,28638,0.74,15231,0.46,43.6,0.82
1004387,Município 4387,PA,Norte,16034,0.631,71585,0.61,47.7,0.87
1003009,Município 3009,SC,Sul,7845,0.704,50379,0.51,45.1,0.82
1003296,Município 3296,GO,Centro-Oeste,1912,0.659,35494,0.5,38.3,0.81
1000803,Município 803,MG,Sudeste,24915,0.664,45421,0.44,47.1,0.81
1003946,Município 3946,MA,Nordeste,4654,0.507,18410,0.48,65.1,0.86
1002035,Município 2035,BA,Nordeste,78726,0.653,43848,0.43,64.6,0.86
1004763,Município 4763,RN,Nordeste,6166,0.718,31708,0.54,71.6,0.83
1004879,Município 4879,MT,Centro-Oeste,14048,0.675,10831,0.45,43.0,0.88
1003159,Município 3159,GO,Centro-Oeste,3834,0.715,15146,0.51,44.0,0.78
1003716,Município 3716,PI,Nordeste,15345,0.543,15033,0.4,49.0,0.8
1001316,Município 1316,SP,Sudeste,12497,0.794,8352,0.42,31.8,0.76
1002969,Município 2969,SC,Sul,10046,0.755,19342,0.5,49.2,0.89
1000645,Município 645,MG,Sudeste,5880,0.669,22594,0.55,47.1,0.92
1001488,Município 1488,SP,Sudeste,2158,0.711,10044,0.46,34.5,0.86
1004180,Município 4180,PE,Nordeste,3752,0.633,35679,0.56,55.8,0.82
1004374,Município 4374,CE,Nordeste,119289,0.604,8625,0.5,69.2,0.77
1000121,Município 121,MG,Sudeste,15228,0.6,20050,0.5,35.5,0.86
1002537,Município 2537,PR,Sul,2869,0.696,24420,0.56,45.5,0.87
1002139,Município 2139,BA,Nordeste,18822,0.523,14083,0.62,68.7,0.78
1002953,Município 2953,SC,Sul,56192,0.658,40785,0.49,42.2,0.85
1004481,Município 4481,PA,Norte,6594,0.558,18103,0.48,45.7,0.73
1003414,Município 3414,PB,Nordeste,1000,0.52,11983,0.6,53.1,0.77
1003927,Município 3927,MA,Nordeste,3726,0.6,8302,0.42,57.4,0.8
1003078,Município 3078,SC,Sul,4800,0.714,23822,0.46,55.0,0.8
1003642,Município 3642,PI,Nordeste,10513,0.604,19218,0.58,61.1,0.8
1002403,Município 2403,BA,Nordeste,2975,0.564,5922,0.59,56.6,0.77
1004322,Município 4322,CE,Nordeste,3031,0.699,24135,0.42,66.7,0.82
1000135,Município 135,MG,Sudeste,5386,0.698,46767,0.43,45.6,0.79
1004771,Município 4771,RN,Nordeste,12205,0.669,6772,0.52,66.3,0.9
1004709,Município 4709,RN,Nordeste,3958,0.533,31032,0.56,55.5,0.93
1004076,Município 4076,PE,Nordeste,54328,0.559,14129,0.52,66.5,0.76
1001908,Município 1908,RS,Sul,4621,0.76,19740,0.52,31.2,0.86
1002570,Município 2570,PR,Sul,3211,0.815,23029,0.43,34.2,0.8
1002575,Município 2575,PR,Sul,4024,0.763,43962,0.53,39.8,0.7
1000512,Município 512,MG,Sudeste,115486,0.721,10763,0.58,45.0,0.86
1000063,Município 63,MG,Sudeste,75478,0.787,44395,0.47,58.8,0.77
1003338,Município 3338,GO,Centro-Oeste,12191,0.676,64837,0.44,41.9,0.9
1005152,Município 5152,RJ,Sudeste,12278,0.671,15920,0.52,40.2,0.73
1001601,Município 1601,RS,Sul,1000,0.819,46900,0.54,42.3,0.8
1003212,Município 3212,GO,Centro-Oeste,6325,0.621,8465,0.61,47.0,0.82
1004341,Município 4341,CE,Nordeste,12928,0.592,11949,0.51,69.1,0.97
1000123,Município 123,MG,Sudeste,17527,0.601,21144,0.57,54.5,0.85
1004809,Município 4809,RN,Nordeste,1567,0.605,47475,0.52,57.8,0.79
1003559,Município 3559,PB,Nordeste,169962,0.509,11678,0.56,62.0,0.71
1004329,Município 4329,CE,Nordeste,1000,0.693,23357,0.5,46.5,0.75
1002761,Município 2761,PR,Sul,32794,0.697,9229,0.49,37.3,0.78
1001211,Município 1211,SP,Sudeste,159068,0.721,21104,0.44,46.3,0.9
1000568,Município 568,MG,Sudeste,13012,0.713,34157,0.49,46.9,0.67
1002978,Município 2978,SC,Sul,3471,0.701,8989,0.47,34.0,0.81
1003940,Município 3940,MA,Nordeste,20749,0.591,13999,0.44,61.2,0.85
1000865,Município 865,SP,Sudeste,42472,0.583,10084,0.62,43.7,0.83
1004223,Município 4223,CE,Nordeste,6275,0.687,24657,0.52,60.6,0.83
1005529,Município 5529,AC,Norte,3505,0.5,9674,0.55,54.6,0.81
1001478,Município 1478,SP,Sudeste,5452,0.604,21553,0.46,49.9,0.9
1004468,Município 4468,PA,Norte,27613,0.616,36291,0.5,56.4,0.81
1002465,Município 2465,PR,Sul,21234,0.792,21540,0.46,43.1,0.79
1000721,Município 721,MG,Sudeste,9625,0.712,14328,0.54,53.2,0.76
1003816,Município 3816,MA,Nordeste,43341,0.771,16039,0.53,51.5,0.8
1003379,Município 3379,PB,Nordeste,3715,0.582,28643,0.5,57.4,0.8
1000691,Município 691,MG,Sudeste,23539,0.835,11639,0.3,43.4,0.84
1000603,Município 603,MG,Sudeste,7702,0.748,13467,0.45,48.1,0.86
1001457,Município 1457,SP,Sudeste,13226,0.703,14167,0.58,55.5,0.73
1001756,Município 1756,RS,Sul,85566,0.693,8231,0.41,40.4,0.87
1002671,Município 2671,PR,Sul,10147,0.903,20334,0.37,45.3,0.81
1003753,Município 3753,PI,Nordeste,5609,0.606,22711,0.52,63.5,0.75
1001742,Município 1742,RS,Sul,29230,0.656,26606,0.45,42.1,0.81
1004823,Município 4823,RN,Nordeste,7583,0.667,15496,0.49,60.7,0.85
1000319,Município 319,MG,Sudeste,1860,0.73,34417,0.51,56.9,0.95
1003870,Município 3870,MA,Nordeste,33240,0.559,19270,0.43,65.7,0.84
1000275,Município 275,MG,Sudeste,2236,0.75,49807,0.63,41.0,0.88
1004796,Município 4796,RN,Nordeste,93300,0.624,8979,0.49,54.7,0.83
1003751,Município 3751,PI,Nordeste,14269,0.675,23727,0.57,62.5,0.85
1001733,Município 1733,RS,Sul,45500,0.705,16837,0.57,49.4,0.77
1002104,Município 2104,BA,Nordeste,17335,0.617,12188,0.51,55.0,0.82
1003905,Município 3905,MA,Nordeste,15680,0.614,21457,0.55,73.4,0.83
1001840,Município 1840,RS,Sul,2894,0.661,22558,0.45,43.8,0.85
1004386,Município 4386,PA,Norte,5339,0.544,43994,0.66,47.8,0.8
1005372,Município 5372,ES,Sudeste,3384,0.854,62892,0.48,32.5,0.76
1000296,Município 296,MG,Sudeste,10520,0.839,18695,0.36,35.3,0.83
1004354,Município 4354,CE,Nordeste,1000,0.691,49401,0.58,50.4,0.93
1001731,Município 1731,RS,Sul,265335,0.796,21903,0.45,34.0,0.83
1000299,Município 299,MG,Sudeste,15472,0.814,25220,0.49,25.9,0.83
1000069,Município 69,MG,Sudeste,11712,0.756,9848,0.54,48.0,0.75
1000737,Município 737,MG,Sudeste,14283,0.584,39867,0.45,43.8,0.69
1004699,Município 4699,RN,Nordeste,4390,0.536,17981,0.62,52.2,0.79
1002479,Município 2479,PR,Sul,32758,0.767,26665,0.52,44.7,0.87
1005037,Município 5037,AL,Nordeste,195785,0.742,18906,0.53,54.9,0.89
1000151,Município 151,MG,Sudeste,16583,0.692,24395,0.49,44.2,0.9
1000757,Município 757,MG,Sudeste,13404,0.699,11818,0.6,42.0,0.87
1004338,Município 4338,CE,Nordeste,60975,0.583,25849,0.6,70.2,0.84
1005188,Município 5188,SE,Nordeste,18875,0.689,42322,0.46,54.6,0.91
1004608,Município 4608,TO,Centro-Oeste,3554,0.651,7752,0.45,43.2,0.85
1003997,Município 3997,MA,Nordeste,11035,0.677,31084,0.45,71.7,0.81
1002147,Município 2147,BA,Nordeste,1000,0.657,24381,0.37,64.4,0.87
1000377,Município 377,MG,Sudeste,34256,0.691,28213,0.51,23.1,0.83
1001499,Município 1499,RS,Sul,83643,0.699,20104,0.38,56.6,0.87
1000860,Município 860,SP,Sudeste,2930,0.719,20558,0.41,44.4,0.97
1001351,Município 1351,SP,Sudeste,1000,0.672,10436,0.37,40.6,0.71
1004960,Município 4960,MT,Centro-Oeste,14439,0.718,16382,0.52,53.6,0.83
1004573,Município 4573,TO,Centro-Oeste,2417,0.843,28914,0.38,50.0,0.88
1000379,Município 379,MG,Sudeste,4886,0.714,15155,0.48,46.2,0.79
1002727,Município 2727,PR,Sul,3104,0.682,11997,0.46,46.4,0.88
1001295,Município 1295,SP,Sudeste,77264,0.718,34745,0.55,64.1,0.72
1004064,Município 4064,PE,Nordeste,1099,0.708,14969,0.33,66.4,0.86
1002351,Município 2351,BA,Nordeste,1000,0.571,10972,0.66,68.0,0.79
1002904,Município 2904,SC,Sul,1000,0.736,22901,0.49,45.4,0.8
1002005,Município 2005,BA,Nordeste,38277,0.634,8344,0.56,49.4,0.97
1003133,Município 3133,GO,Centro-Oeste,84621,0.769,15353,0.44,54.8,0.8
1000842,Município 842,MG,Sudeste,1000,0.718,35487,0.5,52.3,0.81
1002241,Município 2241,BA,Nordeste,58810,0.596,121471,0.6,59.8,0.84
1002330,Município 2330,BA,Nordeste,14273,0.577,14304,0.54,66.9,0.84
1000176,Município 176,MG,Sudeste,4122,0.748,17489,0.43,46.5,0.84
1003728,Município 3728,PI,Nordeste,2416,0.534,7036,0.47,55.5,0.75
1000928,Município 928,SP,Sudeste,4128,0.772,49026,0.5,42.2,0.86
1002836,Município 2836,SC,Sul,5483,0.721,26556,0.55,43.1,0.8
1000046,Município 46,MG,Sudeste,74442,0.619,10431,0.54,55.1,0.82
1001261,Município 1261,SP,Sudeste,1157,0.641,24423,0.4,53.0,0.87
1001097,Município 1097,SP,Sudeste,4222,0.649,16793,0.52,47.1,0.71
1002550,Município 2550,PR,Sul,1000,0.737,5990,0.48,37.8,0.83
1004396,Município 4396,PA,Norte,14551,0.577,10770,0.55,59.6,0.88
1005382,Município 5382,ES,Sudeste,1429,0.711,20095,0.53,52.8,0.83
1002314,Município 2314,BA,Nordeste,15100,0.564,26635,0.64,50.9,0.77
1001031,Município 1031,SP,Sudeste,38170,0.699,21265,0.44,29.9,0.94
1004887,Município 4887,MT,Centro-Oeste,13554,0.77,32827,0.55,36.9,0.73
1003834,Município 3834,MA,Nordeste,8662,0.687,18720,0.55,74.7,0.84
1002196,Município 2196,BA,Nordeste,2552,0.68,31448,0.56,52.6,0.85
1000284,Município 284,MG,Sudeste,20322,0.733,34555,0.54,45.7,0.85
1002288,Município 2288,BA,Nordeste,5246,0.762,35057,0.49,49.6,0.86
1004621,Município 4621,TO,Centro-Oeste,3614,0.714,8405,0.45,47.0,0.8
1002664,Município 2664,PR,Sul,1000,0.809,56723,0.43,25.0,0.79
1004891,Município 4891,MT,Centro-Oeste,11403,0.657,12997,0.56,43.6,0.75
1001616,Município 1616,RS,Sul,19508,0.709,19595,0.43,63.8,0.81
1001472,Município 1472,SP,Sudeste,2177,0.744,19183,0.44,46.8,0.75
1004328,Município 4328,CE,Nordeste,2226,0.646,12072,0.52,65.0,0.84
1001371,Município 1371,SP,Sudeste,1000,0.788,45803,0.43,45.9,0.85
1004687,Município 4687,RN,Nordeste,6050,0.523,35712,0.48,67.5,0.72
1002705,Município 2705,PR,Sul,25223,0.807,20027,0.49,55.6,0.82
1001489,Município 1489,SP,Sudeste,2425,0.729,23740,0.42,40.1,0.83
1004782,Município 4782,RN,Nordeste,5674,0.681,5188,0.51,37.5,0.8
1002524,Município 2524,PR,Sul,15189,0.821,10013,0.47,45.3,0.76
1003322,Município 3322,GO,Centro-Oeste,3903,0.589,11898,0.47,55.6,0.9
1004254,Município 4254,CE,Nordeste,8163,0.523,8742,0.59,47.6,0.82
1004597,Município 4597,TO,Centro-Oeste,2698,0.693,52652,0.55,44.3,0.96
1004326,Município 4326,CE,Nordeste,2066,0.601,29439,0.5,44.4,0.74
1005079,Município 5079,RJ,Sudeste,1000,0.731,36047,0.44,41.1,0.9
1000258,Município 258,MG,Sudeste,101292,0.688,11854,0.51,39.2,0.85
1000508,Município 508,MG,Sudeste,4354,0.736,47616,0.45,48.6,0.7
1004003,Município 4003,MA,Nordeste,14087,0.54,13135,0.54,63.3,0.89
1000100,Município 100,MG,Sudeste,42300,0.684,16398,0.51,42.0,0.76
1002651,Município 2651,PR,Sul,21671,0.74,10459,0.42,51.4,0.86
1002590,Município 2590,PR,Sul,6049,0.866,29796,0.46,48.6,0.73
1004580,Município 4580,TO,Centro-Oeste,1000,0.605,23207,0.5,59.1,0.76
1004571,Município 4571,TO,Centro-Oeste,1764,0.697,17483,0.55,56.0,0.87
1004340,Município 4340,CE,Nordeste,46235,0.781,130180,0.49,45.4,0.77
1005313,Município 5313,MS,Centro-Oeste,4250,0.884,20471,0.53,39.5,0.9
1004029,Município 4029,PE,Nordeste,23976,0.561,8549,0.54,48.3,0.88
1004024,Município 4024,PE,Nordeste,24345,0.591,28313,0.59,59.2,0.87
1004217,Município 4217,CE,Nordeste,20314,0.618,11435,0.61,59.1,0.89
1004561,Município 4561,TO,Centro-Oeste,10231,0.696,33305,0.4,56.0,0.85
1000367,Município 367,MG,Sudeste,17966,0.721,68057,0.47,38.1,0.85
1003783,Município 3783,PI,Nordeste,23769,0.632,8924,0.47,58.7,0.96
1001663,Município 1663,RS,Sul,32318,0.772,69707,0.41,54.1,0.79
1004317,Município 4317,CE,Nordeste,16804,0.61,13648,0.54,50.2,0.96
1003131,Município 3131,GO,Centro-Oeste,7094,0.671,17672,0.58,57.5,0.8
1000950,Município 950,SP,Sudeste,108601,0.757,23260,0.5,39.1,0.78
1001644,Município 1644,RS,Sul,21548,0.874,43044,0.37,44.2,0.85
1000020,Município 20,MG,Sudeste,7560,0.741,47628,0.52,42.4,0.75
1004002,Município 4002,MA,Nordeste,48997,0.637,16866,0.52,63.7,0.87
1000669,Município 669,MG,Sudeste,4996,0.764,13912,0.48,42.3,0.74
1000219,Município 219,MG,Sudeste,45263,0.753,56591,0.5,42.2,0.87
1004657,Município 4657,TO,Centro-Oeste,31256,0.7,12275,0.48,58.4,0.81
1002971,Município 2971,SC,Sul,6802,0.551,31683,0.57,36.8,0.77
1003544,Município 3544,PB,Nordeste,6902,0.529,11235,0.47,52.3,0.78
1004066,Município 4066,PE,Nordeste,10395,0.604,23555,0.46,64.6,0.77
1000586,Município 586,MG,Sudeste,54674,0.659,26432,0.53,58.5,0.72
1003415,Município 3415,PB,Nordeste,52990,0.579,18306,0.53,57.8,0.78
1003063,Município 3063,SC,Sul,28610,0.607,6494,0.48,53.3,0.7
1004902,Município 4902,MT,Centro-Oeste,3252,0.723,10623,0.4,49.2,0.74
1000778,Município 778,MG,Sudeste,4483,0.687,14654,0.59,49.8,0.81
1003320,Município 3320,GO,Centro-Oeste,21145,0.698,22839,0.38,59.1,0.77
1001019,Município 1019,SP,Sudeste,20908,0.669,27718,0.44,52.9,0.74
1002182,Município 2182,BA,Nordeste,53722,0.567,12922,0.53,53.7,0.94
1005046,Município 5046,AL,Nordeste,5029,0.629,23125,0.49,57.1,0.74
1004183,Município 4183,PE,Nordeste,22161,0.604,21412,0.62,55.2,0.83
1002277,Município 2277,BA,Nordeste,175735,0.68,50534,0.53,58.6,0.83
1001433,Município 1433,SP,Sudeste,148777,0.73,18065,0.54,42.2,0.81
1003222,Município 3222,GO,Centro-Oeste,20424,0.655,24053,0.46,58.8,0.79
1000518,Município 518,MG,Sudeste,99635,0.795,12303,0.49,35.5,0.84
1005527,Município 5527,AC,Norte,1685,0.689,11448,0.53,43.8,0.8
1002253,Município 2253,BA,Nordeste,1000,0.624,24921,0.48,59.8,0.73
1003104,Município 3104,SC,Sul,1095,0.737,4594,0.5,54.9,0.82
1000218,Município 218,MG,Sudeste,7746,0.667,21045,0.49,48.9,0.77
1002265,Município 2265,BA,Nordeste,27127,0.636,12745,0.52,53.5,0.85
1001845,Município 1845,RS,Sul,58655,0.707,54294,0.51,41.2,0.85
1001823,Município 1823,RS,Sul,1934,0.737,35939,0.45,44.8,0.76
1002909,Município 2909,SC,Sul,7873,0.743,50479,0.42,42.4,0.87
1002618,Município 2618,PR,Sul,2622,0.735,11971,0.44,35.6,0.9
1001053,Município 1053,SP,Sudeste,1745,0.763,101145,0.43,51.0,0.86
1003814,Município 3814,MA,Nordeste,2250,0.562,60075,0.52,75.8,0.84
1000760,Município 760,MG,Sudeste,8856,0.699,15977,0.52,35.7,0.84
1003289,Município 3289,GO,Centro-Oeste,11512,0.733,21817,0.44,45.0,0.82
1001422,Município 1422,SP,Sudeste,6288,0.735,13965,0.39,51.0,0.79
1000215,Município 215,MG,Sudeste,3293,0.627,9852,0.38,30.9,0.85
1001600,Município 1600,RS,Sul,11434,0.698,30988,0.47,36.0,0.82
1003310,Município 3310,GO,Centro-Oeste,1369,0.728,6717,0.46,45.7,0.82
1001521,Município 1521,RS,Sul,1000,0.63,27634,0.51,51.0,0.82
1002610,Município 2610,PR,Sul,8479,0.733,24337,0.43,31.7,0.78
1001469,Município 1469,SP,Sudeste,19576,0.774,26968,0.5,43.1,0.84
1005146,Município 5146,RJ,Sudeste,9195,0.676,54858,0.53,47.0,0.78
1000197,Município 197,MG,Sudeste,1000,0.713,25271,0.56,35.5,0.75
1001554,Município 1554,RS,Sul,5169,0.653,21323,0.4,41.3,0.8
1002178,Município 2178,BA,Nordeste,18963,0.681,89730,0.52,57.8,0.92
1004503,Município 4503,PA,Norte,32131,0.619,29822,0.41,45.2,0.8
1003989,Município 3989,MA,Nordeste,29665,0.596,23389,0.5,61.9,0.83
1001057,Município 1057,SP,Sudeste,26037,0.689,12406,0.48,45.1,0.82
1003590,Município 3590,PI,Nordeste,15849,0.477,19156,0.51,70.5,0.87
1000888,Município 888,SP,Sudeste,45155,0.735,17376,0.49,44.5,0.82
1003090,Município 3090,SC,Sul,8677,0.758,33722,0.37,32.9,0.88
1003699,Município 3699,PI,Nordeste,39637,0.534,19012,0.5,52.0,0.82
1003065,Município 3065,SC,Sul,12030,0.646,12246,0.51,45.8,0.81
1000569,Município 569,MG,Sudeste,7248,0.863,101156,0.39,34.3,0.8
1003729,Município 3729,PI,Nordeste,15564,0.604,8329,0.54,63.6,0.82
1004247,Município 4247,CE,Nordeste,58336,0.502,15197,0.54,53.5,0.82
1003024,Município 3024,SC,Sul,2436,0.842,85634,0.44,51.5,0.79
1002911,Município 2911,SC,Sul,3600,0.689,32780,0.42,37.9,0.77
1000140,Município 140,MG,Sudeste,9428,0.736,42877,0.46,55.3,0.76
1001962,Município 1962,RS,Sul,7609,0.657,6389,0.54,44.9,0.76
1003536,Município 3536,PB,Nordeste,2208,0.486,45495,0.6,63.8,0.83
1001150,Município 1150,SP,Sudeste,3675,0.682,20800,0.4,38.4,0.75
1004040,Município 4040,PE,Nordeste,3724,0.643,6129,0.62,59.9,0.75
1003001,Município 3001,SC,Sul,15530,0.675,32966,0.48,49.9,0.78
1001906,Município 1906,RS,Sul,6794,0.754,8989,0.4,25.0,0.82
1000464,Município 464,MG,Sudeste,9077,0.754,11963,0.41,49.4,0.78
1002880,Município 2880,SC,Sul,8273,0.677,50654,0.48,49.6,0.74
1005452,Município 5452,AM,Norte,25173,0.605,21963,0.5,45.5,0.87
1004851,Município 4851,MT,Centro-Oeste,3619,0.774,42445,0.41,47.6,0.76
1000595,Município 595,MG,Sudeste,37863,0.724,26532,0.53,45.0,0.88
1002678,Município 2678,PR,Sul,104724,0.589,30819,0.49,55.3,0.84
1000451,Município 451,MG,Sudeste,17009,0.796,31103,0.52,57.4,0.88
1002342,Município 2342,BA,Nordeste,6377,0.597,21359,0.47,53.1,0.76
1003768,Município 3768,PI,Nordeste,1000,0.603,22569,0.43,62.5,0.81
1001943,Município 1943,RS,Sul,14382,0.848,71610,0.51,23.1,0.78
1003051,Município 3051,SC,Sul,16934,0.669,15168,0.51,34.0,0.81
1001527,Município 1527,RS,Sul,15335,0.77,18372,0.46,53.2,0.89
1001808,Município 1808,RS,Sul,3099,0.771,54586,0.54,38.9,0.81
1004676,Município 4676,RN,Nordeste,115000,0.667,33891,0.5,68.4,0.82
1002303,Município 2303,BA,Nordeste,14810,0.581,18323,0.47,57.4,0.76
1001175,Município 1175,SP,Sudeste,30247,0.681,9922,0.42,44.3,0.81
1004432,Município 4432,PA,Norte,45428,0.514,4617,0.49,56.3,0.83
1000452,Município 452,MG,Sudeste,12122,0.722,14135,0.57,40.4,0.91
1004686,Município 4686,RN,Nordeste,7175,0.707,19582,0.43,50.8,0.91
1003690,Município 3690,PI,Nordeste,24197,0.555,18134,0.46,64.2,0.87
1003613,Município 3613,PI,Nordeste,7621,0.54,23115,0.46,68.1,0.81
1003996,Município 3996,MA,Nordeste,23446,0.551,13946,0.6,65.7,0.85
1003979,Município 3979,MA,Nordeste,2666,0.598,21618,0.58,64.6,0.93
1001264,Município 1264,SP,Sudeste,4506,0.62,18519,0.59,55.3,0.86
1005217,Município 5217,SE,Nordeste,73236,0.583,25878,0.54,60.7,0.82
1001000,Município 1000,SP,Sudeste,33154,0.732,31203,0.41,52.2,0.75
1004451,Município 4451,PA,Norte,42772,0.638,20875,0.46,51.3,0.9
1003743,Município 3743,PI,Nordeste,8174,0.507,13141,0.57,49.5,0.95
1003387,Município 3387,PB,Nordeste,6279,0.684,11283,0.54,47.6,0.91
1001477,Município 1477,SP,Sudeste,13240,0.729,27974,0.48,30.2,0.71
1000193,Município 193,MG,Sudeste,4045,0.627,12640,0.64,58.7,0.88
1004362,Município 4362,CE,Nordeste,12068,0.533,17429,0.62,62.2,0.77
1005020,Município 5020,AL,Nordeste,161163,0.628,6902,0.5,60.2,0.77
1004653,Município 4653,TO,Centro-Oeste,11897,0.702,39864,0.52,44.8,0.81
1004350,Município 4350,CE,Nordeste,47059,0.678,11617,0.41,58.3,0.83
1004705,Município 4705,RN,Nordeste,10336,0.626,9474,0.45,61.5,0.8
1005374,Município 5374,ES,Sudeste,45201,0.69,7843,0.46,47.7,0.83
1001339,Município 1339,SP,Sudeste,1017,0.726,54301,0.52,39.8,0.91
1004949,Município 4949,MT,Centro-Oeste,1000,0.733,9767,0.52,65.0,0.8
1003155,Município 3155,GO,Centro-Oeste,10707,0.602,13554,0.46,37.9,0.79
1002440,Município 2440,PR,Sul,22806,0.726,15622,0.44,48.1,0.8
1004884,Município 4884,MT,Centro-Oeste,19232,0.751,12940,0.49,49.7,0.71
1001294,Município 1294,SP,Sudeste,1379,0.629,10362,0.54,56.0,0.86
1004199,Município 4199,PE,Nordeste,26498,0.608,17735,0.55,50.5,0.79
1004666,Município 4666,TO,Centro-Oeste,20487,0.694,23498,0.49,50.4,0.77
1004856,Município 4856,MT,Centro-Oeste,60309,0.619,8715,0.54,56.9,0.82
1002318,Município 2318,BA,Nordeste,9270,0.544,14955,0.51,48.8,0.69
1004929,Município 4929,MT,Centro-Oeste,4217,0.764,24719,0.54,67.2,0.89
